añ;pro. De harina anual;
1980;416.403518;
1981;314.43334;
1982;614;
1983;205.511605;
1984;401.045804;
1985;505.0836923;
1986;713.7146068;
1987;729.3802376;
1988;804.0343473;
1989;1083.275845;
1990;1092.955395;
1991;1123.00096;
1992;993.0757987;
1993;1568.214173;
1994;2221.164849;
1995;1815.719666;
1996;1609.790284;
1997;1926.297106;
1998;666.1882849;
1999;1482.046094;
2000;2352.313298;
2001;1941.977257;
2002;1517.591699;
2003;1370.090554;
2004;1750.670101;
2005;2000.314748;
2006;1340.015041;
2007;1261.745535;
2008;1564.914671;
2009;1539.536352;
2010;1083.22013;
2011;1300.837718;
2012;1332.541339;
2013;851.385794;
2014;855.941443;
2015;698.391814;
2016;633.877312;
2017;1030.746956;
2018;1026.668956;
2019;1051.799177;
2020;861.808638;
2021;1209.600113;
